año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_tipo,mesa_electores,cargo_nombre,votos_tipo,votos_cantidad,cargo_id,agrupacion_id,agrupacion_nombre
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,11,NATIVOS,348,DIPUTADO NACIONAL,NULOS,3,3,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,11,NATIVOS,348,DIPUTADO NACIONAL,RECURRIDOS,1,3,undefined,undefined
2021,GENERAL,PROVISORIO,COMANDO,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,11,NATIVOS,348,DIPUTADO NACIONAL,COMANDO,0,3,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,11,NATIVOS,348,DIPUTADO NACIONAL,IMPUGNADOS,0,3,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,11,NATIVOS,348,DIPUTADO NACIONAL,POSITIVO,69,3,502,FRENTE DE TODOS
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,11,NATIVOS,348,DIPUTADO NACIONAL,POSITIVO,48,3,504,LA LIBERTAD AVANZA
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,11,NATIVOS,348,DIPUTADO NACIONAL,POSITIVO,45,3,501,JUNTOS POR EL CAMBIO
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,11,NATIVOS,348,DIPUTADO NACIONAL,POSITIVO,26,3,503,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,11,NATIVOS,348,DIPUTADO NACIONAL,POSITIVO,2,3,187,AUTODETERMINACIÓN Y LIBERTAD
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,12,NATIVOS,347,DIPUTADO NACIONAL,BLANCOS,4,3,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,12,NATIVOS,347,DIPUTADO NACIONAL,NULOS,3,3,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,12,NATIVOS,347,DIPUTADO NACIONAL,RECURRIDOS,0,3,undefined,undefined
2021,GENERAL,PROVISORIO,COMANDO,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,12,NATIVOS,347,DIPUTADO NACIONAL,COMANDO,0,3,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,12,NATIVOS,347,DIPUTADO NACIONAL,IMPUGNADOS,0,3,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,12,NATIVOS,347,DIPUTADO NACIONAL,POSITIVO,98,3,501,JUNTOS POR EL CAMBIO
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,12,NATIVOS,347,DIPUTADO NACIONAL,POSITIVO,78,3,502,FRENTE DE TODOS
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,12,NATIVOS,347,DIPUTADO NACIONAL,POSITIVO,39,3,504,LA LIBERTAD AVANZA
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,12,NATIVOS,347,DIPUTADO NACIONAL,POSITIVO,22,3,503,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,12,NATIVOS,347,DIPUTADO NACIONAL,POSITIVO,9,3,187,AUTODETERMINACIÓN Y LIBERTAD
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,13,NATIVOS,346,DIPUTADO NACIONAL,BLANCOS,4,3,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,13,NATIVOS,346,DIPUTADO NACIONAL,NULOS,3,3,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,13,NATIVOS,346,DIPUTADO NACIONAL,RECURRIDOS,0,3,undefined,undefined
2021,GENERAL,PROVISORIO,COMANDO,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,1,Comuna 01,00001,13,NATIVOS,346,DIPUTADO NACIONAL,COMANDO,0,3,undefined,undefined
